Campaign Name,Campaign Status,Campaign Type,Start Date,End Date,Expected Response (%),Responses in Campaign,Contacts in Campaign,Donations in Campaign,Won Donations in Campaign,Value Won Donations in Campaign,Value Donations in Campaign,Expected Revenue in Campaign,Budgeted Cost in Campaign,Actual Cost in Campaign,ROI,Average Cost Per Customer,Average Cost Per Response,% of Goal Reached,Average Gift,Classy Campaign - DEPRECATED,Classy Campaign Hierarchy,Classy Campaign ID,Classy Designations
FY11 Growth Plan,Completed,Other,12/15/10,6/30/11,150000,4,34,13,12,129648,130148,0,0,,,,,0,10804.01,,,,
FY12 Board donations,Completed,Other,7/1/10,6/30/11,100,8,14,18,18,9128,9128,12000,0,0,,0,0,76,507.12,,,,
FY12 Board prospects,Completed,Other,7/1/10,6/30/11,100,0,0,0,0,0,0,12000,0,0,,,,0,0,,,,
FY12 MID/PMID donations,Completed,Other,7/1/11,6/30/12,80,0,0,0,0,0,0,150000,2000,,,,,0,0,,,,
FY14 Fall Digest,Completed,Email,,,15,0,5686,2,2,5025,5025,1500,0,,,,,335,2512.5,,,,
FY12 Corporations,Completed,Other,7/1/10,6/30/11,15,0,0,7,7,1890,1890,30000,5000,,,,,6,270,,,,
FY08 Fall Appeal,Completed,Direct Mail,10/19/07,1/31/08,10,232,2969,225,225,178481,178481,,2850,3600,4857.813889,16,15.52,0,793.25,,,,
FY09 Annual Event,Completed,Event,5/1/09,7/31/09,5,1833,1818,123,123,19619,19619,20000,9500,9348,109.8737698,76,5.1,98,159.5,,,,
FY09 Spring Appeal,Completed,Direct Mail,5/5/09,5/31/09,3,0,1,6,6,345,345,1000,100,87,296.5517241,14.5,,35,57.5,,,,
FY12 Major Gifts Campaign,Completed,Face-to-Face Meeting,11/4/11,2/1/12,0,114,117,48,48,86060,86060,0,0,,,,,0,1792.91,,,,
FY12 Brown Bag Lunch with GRAVIS at AAPIP,Completed,Event,1/27/12,3/31/12,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,
FY12 Lapsed Donor Campaign,Completed,Direct Mail,11/10/11,1/31/12,0,48,48,6,6,1710,1710,0,0,,,,,0,285,,,,
FY13 Potential Partner Funding,Completed,Other,7/1/12,6/30/13,0,0,0,17,0,0,0,0,0,,,,,0,0,,,,
FY12 Planned Giving Event,Completed,Event,4/16/12,6/30/12,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,
FY12 Social Venture Network,Completed,Other,,,0,50,50,0,0,0,0,0,0,,,,,0,0,,,,
FY12 Spring Newsletter,Completed,Direct Mail,4/25/12,6/30/12,0,6,2833,6,6,2211,2211,0,2500,2200,0.495,366.67,366.67,0,368.48,,,,
FY13 Food Justice Allies,Completed,Other,,,0,2,7,0,0,0,0,0,0,,,,,0,0,,,,
FY08 Red Vic,Completed,Event,9/27/07,9/27/07,0,0,0,11,11,1766,1766,,,,,,,0,160.55,,,,
FY12 Fall Newsletter,Completed,Direct Mail,11/1/11,12/31/11,0,2,2564,14,14,1310,1310,0,0,,,,,0,93.57,,,,
FY12 Evaluation Feedback,Completed,Email,3/21/12,9/21/12,0,5,27,1,1,25,25,0,0,,,,,0,25,,,,
FY13 Travel Funding,Completed,Other,7/1/12,6/30/13,0,0,0,8,0,0,0,0,0,,,,,0,0,,,,
FY12 Bay Area emails,Completed,Email,4/26/12,12/31/12,0,0,387,0,0,0,0,0,0,,,,,0,0,,,,
FY12 AWID - Women Led Asset Development,Completed,Panel Event,,,0,0,19,0,0,0,0,0,0,,,,,0,0,,,,
Indian Philanthropy 2012,Completed,Face-to-Face Meeting,7/1/12,,0,2,2,0,0,0,0,0,0,,,,,0,0,,,,
FY12 Grassroutes Riders,Completed,Other,10/5/11,12/31/11,0,1,1,0,0,0,0,0,0,,,,,0,0,,,,
FY12 Evaluation E-blast (test),Completed,Email,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,,
FY12 DD San Diego House Party,Completed,House Party,9/1/11,,0,11,12,57,57,2555,2555,0,0,,,,,0,44.82,,,,
FY12 Misc,Completed,Other,7/1/11,6/30/12,0,22,23,50,50,18550,18550,0,0,,,,,0,371.01,,,,
FY12 Opportunity Collaboration,Completed,Face-to-Face Meeting,10/24/11,10/24/11,0,13,256,0,0,0,0,0,0,,,,,0,0,,,,
FY12 Integral Group Matching,Completed,Other,,,0,6,6,6,6,600,600,0,0,,,,,0,100,,,,
FY10 Seva Comms To IDEX Donors,Completed,Direct Mail,9/1/09,9/8/09,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,
FY12 Family Event with GRAVIS,Completed,Event,1/1/12,,0,0,1,0,0,0,0,0,0,,,,,0,0,,,,
FY09 Raffle,Completed,Event,5/1/09,6/30/09,0,0,0,28,28,1720,1720,0,0,,,,,0,61.43,,,,
FY10 Ambassadors,Completed,Other,4/19/10,6/30/10,0,1,25,0,0,0,0,0,0,,,,,0,0,,,,
